tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,airportid_1,airportid_2,airport_1,airport_2,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table 1a,2015,1,30372,31703,"Aspen, CO","New York City, NY (Metropolitan Area)",1750,10372,12478,ASE,JFK,3.333333333,847.7333333,UA,0.266666667,1501.425,DL,0.2,603.8
Table 1a,2015,1,30372,32575,"Aspen, CO","Los Angeles, CA (Metropolitan Area)",737,10372,12892,ASE,LAX,220.4444444,365.9085685,UA,0.851310484,366.0476021,UA,0.851310484,366.0476021
Table 1a,2015,1,30372,31703,"Aspen, CO","New York City, NY (Metropolitan Area)",1750,10372,12953,ASE,LGA,129.7777778,506.0125,UA,0.877568493,505.5452683,DL,0.029965753,503.4371429
Table 1a,2015,1,30372,32575,"Aspen, CO","Los Angeles, CA (Metropolitan Area)",737,10372,13891,ASE,ONT,1.444444444,391.0769231,UA,0.923076923,382,UA,0.923076923,382
Table 1a,2015,1,30372,32575,"Aspen, CO","Los Angeles, CA (Metropolitan Area)",737,10372,14908,ASE,SNA,5.666666667,390.3568627,UA,0.921568627,397.287234,UA,0.921568627,397.287234
Table 1a,2015,1,30397,30721,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,10397,10721,ATL,BOS,1400.555556,247.6662674,DL,0.666640222,272.6766631,WN,0.211344704,179.498461
Table 1a,2015,1,30397,32575,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,10397,10800,ATL,BUR,24.11111111,290.8013825,WN,0.470046083,257.85,WN,0.470046083,257.85
Table 1a,2015,1,30397,30852,"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)",577,10397,10821,ATL,BWI,1359.666667,174.5151671,DL,0.537304895,178.4339163,WN,0.39527662,167.1144511
Table 1a,2015,1,30397,30647,"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",554,10397,10874,ATL,CAK,335.8888889,154.3665233,DL,0.667217995,158.5667328,WN,0.273238505,135.538862
Table 1a,2015,1,30397,30647,"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",554,10397,11042,ATL,CLE,503,194.72019,DL,0.593108019,239.0919553,F9,0.285398719,85.09450464
Table 1a,2015,1,30397,31066,"Atlanta, GA (Metropolitan Area)","Columbus, OH",447,10397,11066,ATL,CMH,595.8888889,195.0764497,DL,0.69438747,209.6434479,WN,0.22767108,149.4669943
Table 1a,2015,1,30397,30194,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",731,10397,11259,ATL,DAL,754.4444444,135.930972,WN,0.665684831,126.1671681,WN,0.665684831,126.1671681
Table 1a,2015,1,30397,30852,"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)",577,10397,11278,ATL,DCA,1742.333333,206.445654,DL,0.614374083,232.0809633,WN,0.325935846,155.9772452
Table 1a,2015,1,30397,30194,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",731,10397,11298,ATL,DFW,1849.555556,179.4776463,DL,0.464435901,188.6003104,AA,0.407665505,187.3158856
Table 1a,2015,1,30397,31703,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,10397,11618,ATL,EWR,1240.222222,291.2069342,DL,0.525712238,295.6966599,UA,0.372872245,295.1000481
Table 1a,2015,1,30397,32467,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,10397,11697,ATL,FLL,1898.444444,150.8717488,DL,0.579129112,174.1140778,NK,0.236977643,90.08278587
Table 1a,2015,1,30397,31453,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,10397,12191,ATL,HOU,794.5555556,180.639505,WN,0.536568312,173.0602554,WN,0.536568312,173.0602554
Table 1a,2015,1,30397,31703,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,10397,12197,ATL,HPN,235.1111111,278.8663516,DL,0.888468809,282.1071277,US,0.059546314,245.0880952
Table 1a,2015,1,30397,30852,"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)",577,10397,12264,ATL,IAD,662.1111111,202.5427589,DL,0.526766236,241.0661357,F9,0.233596241,97.57672414
Table 1a,2015,1,30397,31453,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,10397,12266,ATL,IAH,824.5555556,183.0461663,DL,0.473925347,197.2801535,NK,0.166150115,89.15823195
Table 1a,2015,1,30397,31703,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,10397,12391,ATL,ISP,26.77777778,213.6365145,WN,0.838174274,212.1945545,WN,0.838174274,212.1945545
Table 1a,2015,1,30397,31703,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,10397,12478,ATL,JFK,395.7777778,251.9287479,DL,0.636720943,269.390388,US,0.238629983,220.1768235
Table 1a,2015,1,30397,32575,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,10397,12892,ATL,LAX,1946.888889,308.3696553,DL,0.551535213,362.4527318,WN,0.193014496,226.8538734
Table 1a,2015,1,30397,31703,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,10397,12953,ATL,LGA,2937.666667,250.9494421,DL,0.6873558,268.7573873,WN,0.189984493,181.8795142
Table 1a,2015,1,30397,32575,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,10397,12954,ATL,LGB,14.77777778,270.0969925,US,0.691729323,244.6967391,US,0.691729323,244.6967391
Table 1a,2015,1,30397,30977,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,10397,13232,ATL,MDW,891.5555556,176.1007104,WN,0.612288136,173.8662121,WN,0.612288136,173.8662121
Table 1a,2015,1,30397,30721,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,10397,13296,ATL,MHT,100.5555556,242.5985635,DL,0.504972376,251.4925602,WN,0.233149171,209.6587678
Table 1a,2015,1,30397,32467,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,10397,13303,ATL,MIA,1338.111111,177.4807274,DL,0.612222868,186.5532755,AA,0.299427053,171.3320854
Table 1a,2015,1,30397,32457,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,10397,13796,ATL,OAK,81.66666667,293.2160544,WN,0.529251701,276.9935733,WN,0.529251701,276.9935733
Table 1a,2015,1,30397,32575,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,10397,13891,ATL,ONT,122.7777778,291.06,WN,0.376470588,268.2663462,WN,0.376470588,268.2663462
Table 1a,2015,1,30397,30977,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,10397,13930,ATL,ORD,1857.555556,180.771097,DL,0.45053236,195.9361259,DL,0.45053236,195.9361259
Table 1a,2015,1,30397,33667,"Atlanta, GA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",516,10397,13931,ATL,ORF,255.2222222,243.8776665,DL,0.760121898,251.9054983,US,0.137135394,213.6073016
Table 1a,2015,1,30397,33667,"Atlanta, GA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",516,10397,14098,ATL,PHF,55.33333333,239.0959839,DL,0.674698795,256.8017857,US,0.269076305,202.2865672
Table 1a,2015,1,30397,30466,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,10397,14107,ATL,PHX,989.5555556,253.4709297,DL,0.557264765,263.4329236,WN,0.167864361,233.5532441
Table 1a,2015,1,30397,30721,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,10397,14307,ATL,PVD,184.5555556,266.2249849,DL,0.671884407,280.9534946,WN,0.141481036,215.5919149
Table 1a,2015,1,30397,32457,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,10397,14771,ATL,SFO,1325.555556,341.5168567,DL,0.597904443,375.5054816,WN,0.16093881,231.3985938
Table 1a,2015,1,30397,32457,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,10397,14831,ATL,SJC,169.2222222,319.3056467,DL,0.370321733,381.8019504,WN,0.351280368,251.306729
Table 1a,2015,1,30397,32575,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,10397,14908,ATL,SNA,371.3333333,351.2535009,DL,0.663076002,387.5251805,F9,0.016756433,180.1071429
Table 1a,2015,1,30397,31703,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,10397,15070,ATL,SWF,7.222222222,334.7815385,DL,0.646153846,337.7357143,US,0.184615385,285.65
Table 1a,2015,1,30397,33195,"Atlanta, GA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",406,10397,15304,ATL,TPA,1347.333333,178.1905245,DL,0.634421903,182.4569479,WN,0.319726208,167.720454
Table 1a,2015,1,30423,30721,"Austin, TX","Boston, MA (Metropolitan Area)",1698,10423,10721,AUS,BOS,515.6666667,254.5730015,B6,0.399913812,256.5826509,WN,0.130575307,211.1268977
Table 1a,2015,1,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",1242,10423,10800,AUS,BUR,34.22222222,288.2831169,WN,0.779220779,278.83125,WN,0.779220779,278.83125
Table 1a,2015,1,30423,30852,"Austin, TX","Washington, DC (Metropolitan Area)",1342,10423,10821,AUS,BWI,288,270.5682485,WN,0.737654321,273.779864,AA,0.086419753,241.0959821
Table 1a,2015,1,30423,30194,"Austin, TX","Dallas/Fort Worth, TX",190,10423,11259,AUS,DAL,705.8888889,175.5629466,WN,0.996064851,175.5145386,WN,0.996064851,175.5145386
Table 1a,2015,1,30423,30852,"Austin, TX","Washington, DC (Metropolitan Area)",1342,10423,11278,AUS,DCA,403.5555556,271.7836178,WN,0.599118943,260.1454504,WN,0.599118943,260.1454504
Table 1a,2015,1,30423,30194,"Austin, TX","Dallas/Fort Worth, TX",190,10423,11298,AUS,DFW,293.2222222,210.6596817,AA,0.963622584,209.3111286,AA,0.963622584,209.3111286
Table 1a,2015,1,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",1559,10423,11618,AUS,EWR,667.8888889,261.2633672,UA,0.668607553,279.095571,WN,0.214772916,196.7645236
Table 1a,2015,1,30423,32467,"Austin, TX","Miami, FL (Metropolitan Area)",1105,10423,11697,AUS,FLL,431.1111111,180.6348711,WN,0.446391753,174.4237298,WN,0.446391753,174.4237298
Table 1a,2015,1,30423,31453,"Austin, TX","Houston, TX",148,10423,12191,AUS,HOU,150.8888889,173.5226068,WN,1,173.5226068,WN,1,173.5226068
Table 1a,2015,1,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",1559,10423,12197,AUS,HPN,15.77777778,262.2901408,DL,0.654929577,264.1376344,DL,0.654929577,264.1376344
Table 1a,2015,1,30423,30852,"Austin, TX","Washington, DC (Metropolitan Area)",1342,10423,12264,AUS,IAD,221.3333333,326.4628514,UA,0.812248996,335.3757726,WN,0.017068273,218.6823529
Table 1a,2015,1,30423,31453,"Austin, TX","Houston, TX",148,10423,12266,AUS,IAH,99.44444444,209.009162,UA,1,209.009162,UA,1,209.009162
Table 1a,2015,1,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",1559,10423,12391,AUS,ISP,7,257.1079365,WN,0.920634921,246.3327586,WN,0.920634921,246.3327586
Table 1a,2015,1,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",1559,10423,12478,AUS,JFK,736.5555556,244.8914618,B6,0.47820184,225.9677918,B6,0.47820184,225.9677918
Table 1a,2015,1,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",1242,10423,12892,AUS,LAX,1104.777778,249.724379,AA,0.416976768,264.5016643,WN,0.240571256,220.6965301
Table 1a,2015,1,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",1559,10423,12953,AUS,LGA,328.3333333,236.9460237,AA,0.305583756,243.6664452,WN,0.253130288,195.6854278
Table 1a,2015,1,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",1242,10423,12954,AUS,LGB,225.1111111,201.4655972,B6,0.898321816,202.4689011,DL,0.011846002,155.1791667
Table 1a,2015,1,30423,30977,"Austin, TX","Chicago, IL",978,10423,13232,AUS,MDW,310.4444444,234.8612384,WN,0.957050823,233.7304413,WN,0.957050823,233.7304413
Table 1a,2015,1,30423,30721,"Austin, TX","Boston, MA (Metropolitan Area)",1698,10423,13296,AUS,MHT,31.33333333,273.4453901,WN,0.539007092,276.3894737,DL,0.191489362,267.137037
Table 1a,2015,1,30423,32467,"Austin, TX","Miami, FL (Metropolitan Area)",1105,10423,13303,AUS,MIA,129.5555556,239.3827616,AA,0.540308748,257.0211111,DL,0.168953688,214.2527919
Table 1a,2015,1,30423,32457,"Austin, TX","San Francisco, CA (Metropolitan Area)",1504,10423,13796,AUS,OAK,198.2222222,233.858296,WN,0.892376682,232.1319095,US,0.025784753,195.126087
Table 1a,2015,1,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",1242,10423,13891,AUS,ONT,69,281.4268921,WN,0.669887279,268.6870192,WN,0.669887279,268.6870192
Table 1a,2015,1,30423,30977,"Austin, TX","Chicago, IL",978,10423,13930,AUS,ORD,583.3333333,268.9880762,AA,0.578666667,252.8249835,AA,0.578666667,252.8249835
Table 1a,2015,1,30423,30466,"Austin, TX","Phoenix, AZ",872,10423,14107,AUS,PHX,600.5555556,232.2557632,WN,0.604995375,224.0684709,WN,0.604995375,224.0684709
Table 1a,2015,1,30423,30721,"Austin, TX","Boston, MA (Metropolitan Area)",1698,10423,14307,AUS,PVD,42.66666667,299.309375,WN,0.424479167,276.3895706,WN,0.424479167,276.3895706
Table 1a,2015,1,30423,32457,"Austin, TX","San Francisco, CA (Metropolitan Area)",1504,10423,14771,AUS,SFO,1045.111111,265.2495747,UA,0.481820115,282.7230803,VX,0.309908569,241.5456604
Table 1a,2015,1,30423,32457,"Austin, TX","San Francisco, CA (Metropolitan Area)",1504,10423,14831,AUS,SJC,424.4444444,271.4803141,WN,0.751570681,267.0059213,WN,0.751570681,267.0059213
